X,lon,lat
265,-77.1945247,41.2033216
266,-73.8648268,40.8447819
267,-3.7175684,40.409337
268,-0.1277583,51.5073509
269,-122.2913078,37.8271784
270,-118.2436849,34.0522342
271,-104.990251,39.7392358
272,-74.0059413,40.7127837
273,139.6917064,35.6894875
274,40.489673,9.145
275,-80.1917902,25.7616798
276,-121.932387,37.729808
277,-66.9036063,10.4805937
278,-3.70835,40.418712
279,-118.2436849,34.0522342
280,-1.3080629,51.0576948
281,-73.0443904,-36.8201352
282,-104.990251,39.7392358
283,2.7580701,39.5572421
284,-95.3698028,29.7604267
285,-80.9620582,34.0426948
286,-63.616672,-38.416097
287,-79.0192997,35.7595731
288,-99.133208,19.4326077
289,-87.192136,14.0722751
290,-74.297333,4.570868
291,-58.3815591,-34.6036844
292,-74.0059413,40.7127837
293,-100.3161126,25.6866142
294,12.4963655,41.9027835
295,-82.445154,38.4192496
296,2.3522219,48.856614
297,-122.3320708,47.6062095
298,21.824312,39.074208
299,-81.3792365,28.5383355
300,-35.8808337,-7.2290752
301,-3.7037902,40.4167754
302,-95.3698028,29.7604267
303,-96.7969879,32.7766642
304,-81.3792365,28.5383355
305,-73.087749,41.6032207
306,-86.7360568,21.2384238
307,-116.419389,34.9592083
308,-44.5550308,-18.512178
309,-95.712891,37.09024
310,-79.7919754,36.0726354
311,-121.8938583,39.0743383
312,-74.0059413,40.7127837
313,3.080602,50.367874
314,-98.4936282,29.4241219
315,-2.094523,53.478764
316,-106.4850217,31.7618778
317,-44.5550308,-18.512178
318,-58.3815591,-34.6036844
319,-94.5785667,39.0997265
320,-122.1835438,38.0462367
321,-74.0059413,40.7127837
322,-123.1815123,49.1966913
323,-70.7208115,-32.75
324,-77.0368707,38.9071923
325,-73.7924152,41.1333371
326,-111.8314724,33.4151843
327,-84.3879824,33.7489954
328,-40.4983289,-9.3857327
329,-55.765835,-32.522779
330,-88.7878678,43.7844397
331,-97.7240495,30.4919176
332,-74.5829331,39.9726147
333,106.822745,-6.1744651
334,-0.448632,51.753241
335,-81.1637245,33.836081
336,-69.9312117,18.4860575
337,-118.281693,33.8316745
338,-120.5542012,43.8041334
339,13.4440963,52.5803885
340,45.079162,23.885942
341,-93.2991931,44.9522896
342,76.8512485,43.2220146
343,-3.74922,40.463667
344,-91.143098,30.5229851
345,-86.3442107,34.3614336
346,-74.0059413,40.7127837
347,-59.933333,-29.233333
348,-95.3698028,29.7604267
349,-73.9202391,41.6002842
350,-87.6297982,41.8781136
351,-74.4056612,40.0583238
352,31.2088526,30.0130557
353,-71.9674626,-13.53195
354,-75.2493541,40.2619418
355,-83.7049498,42.7978061
356,-127.6476206,53.7266683
357,-119.4179324,36.778261
358,-85.207229,12.865416
359,-77.0368707,38.9071923
360,-77.0368707,38.9071923
361,-97.8968733,30.5453614
362,-95.712891,37.09024
363,78.96288,20.593684
364,-0.1277583,51.5073509
365,-43.1728965,-22.9068467
366,101.975766,4.210484
367,76.5761714,33.778175
368,121.774017,12.879721
369,-113.4909267,53.544389
370,-97.0403352,32.8998091
371,-97.5466702,30.5426995
372,-97.6742533,30.3891701
373,-106.346771,56.130366
374,-55.765835,-32.522779
375,-8.224454,39.399872
376,106.8286851,10.8428402
377,-95.4032821,29.9806421
378,-51.92528,-14.235004
379,-5.9844589,37.3890924
380,144.9937739,-37.8491409
381,-76.535758,3.45246
382,-74.0059413,40.7127837
383,-79.532157,43.8169837
384,-118.2436849,34.0522342
385,-6.1461102,36.4165052
386,-77.0368707,38.9071923
387,-105.7820674,39.5500507
388,-76.2710833,-12.2720956
389,-76.2710833,-12.2720956
390,31.0218404,-29.8586804
391,-71.7147951,10.6544509
392,-103.3496092,20.6596988
393,-77.0368707,38.9071923
394,-100.3161126,25.6866142
395,-73.4170673,40.6789893
396,-84.3879824,33.7489954
397,14.5282718,45.9588213
398,-4.2026458,56.4906712
399,-67.9972104,10.1579312
400,-74.0059413,40.7127837
401,-71.0588801,42.3600825
402,-3.435973,55.378051
403,-43.9344931,-19.9166813
404,-122.1750657,37.4200507
405,153.1932534,-28.6104322
406,-71.7147951,10.6544509
407,-74.297333,4.570868
408,-95.712891,37.09024
409,2.1734035,41.3850639
410,-122.286865,38.2975381
411,-57.3666027,-25.501405
412,-74.297333,4.570868
413,-98.2061996,19.0412967
414,90.4125181,23.810332
415,77.2090212,28.6139391
416,9.266705,45.5003088
417,88.363895,22.572646
418,-93.5874364,36.379123
419,-81.5157535,27.6648274
420,-117.4260466,47.6587802
421,-73.064036,41.2306979
422,-74.0059413,40.7127837
423,-83.3527097,42.36837
424,-79.3831843,43.653226
425,-79.3831843,43.653226
426,-116.5963713,31.8667427
427,-70.6613511,-33.5264495
428,10.89779,48.3705449
429,-90.3143576,38.6142741
430,24.1051864,56.9496487
431,23.7275388,37.9838096
432,-87.6297982,41.8781136
433,5.36978,43.296482
434,2.398782,47.081012
435,-105.2551187,54.5259614
436,144.963056,-37.813611
437,-74.0059413,40.7127837
438,-87.6595231,44.0878764
439,-122.3320708,47.6062095
440,10.3279427,44.8019237
441,2.3522219,48.856614
442,-0.370679,49.182863
443,-117.6729129,33.4877883
444,-84.3879824,33.7489954
445,8.8004529,46.331734
446,-3.7037902,40.4167754
447,-78.6568942,37.4315734
448,-74.4056612,40.0583238
449,-97.1025077,32.4334742
450,-74.0059413,40.7127837
451,5.04148,47.322047
452,-84.3640829,33.7589188
453,-104.990251,39.7392358
454,-78.4727976,42.5300624
455,-91.8318334,35.20105
456,-84.3879824,33.7489954
457,-93.6091064,41.6005448
458,-80.1289321,26.3683064
459,-119.4179324,36.778261
460,-95.3698028,29.7604267
461,-72.6758269,41.7594351
462,-94.503122,37.077469
463,-3.7037902,40.4167754
464,101.686855,3.139003
465,-92.2895948,34.7464809
466,12.354722,7.369722
467,-66.6431151,45.9635895
468,-117.1610838,32.715738
469,-78.6381787,35.7795897
470,7.02158,50.9317218
471,-58.443832,-23.442503
472,4.4266158,50.8167203
473,-117.0382471,32.5149469
474,-121.4943996,38.5815719
475,-74.0059413,40.7127837
476,-90.5154101,41.5101608
477,-3.435973,55.378051
478,-78.5099982,-0.236632
479,-71.542969,-35.675147
480,-78.183406,-1.831239
481,-97.112637,49.841882
482,-1.1743197,52.3555177
483,-73.732886,40.9506984
484,-71.0588801,42.3600825
485,85.0985236,20.9516658
486,-117.8376937,33.8246585
487,-95.3698028,29.7604267
488,-99.3395636,20.0535516
489,-96.7969879,32.7766642
490,4.469936,50.503887
491,-122.4194155,37.7749295
492,101.686855,3.139003
493,-74.0059413,40.7127837
494,-94.5785667,39.0997265
495,4.764139,45.786447
496,-118.4911912,34.0194543
497,-123.1207375,49.2827291
498,-43.1728965,-22.9068467
499,4.3517211,50.8503463
500,4.835659,45.764043
501,-85.5514237,43.2233604
502,-95.712891,37.09024
503,-73.9970307,40.7157509
504,-75.1648579,39.9490779
505,-75.5636144,40.2481025
506,8.468946,60.472024
507,-87.6297982,41.8781136
508,-122.3320708,47.6062095
509,19.699024,48.669026
510,-108.5567,37.34923
511,10.451526,51.165691
512,-97.7430608,30.267153
513,-106.0691004,28.6329957
514,-101.1949825,19.7059504
515,-77.1067698,38.8799697
516,74.5404694,13.9977623
517,72.8798441,19.115692
518,106.6527099,-6.2023936
519,-97.3307658,32.7554883
520,-70.6692655,-33.4488897
521,-81.6248026,26.6253497
522,-95.3698028,29.7604267
523,-84.3879824,33.7489954
524,-91.9623327,30.9842977
525,-90.1994042,38.6270025
526,-77.0368707,38.9071923
527,-92.003894,43.55087
528,-111.8910474,40.7607793
529,9.1859243,45.4654219
530,-95.3698028,29.7604267
531,-94.5672342,38.9277072
532,-85.7077266,32.430237
533,-77.7905339,35.9382103
534,-102.4107493,34.2331373
535,-84.3879824,33.7489954
536,-117.1610838,32.715738
537,144.963056,-37.813611
538,8.468946,60.472024
539,-70.7119749,-33.9791656
540,106.822745,-6.1744651
541,-95.9979883,41.2523634
542,-76.757578,39.6055915
543,106.822745,-6.1744651
544,151.2092955,-33.8688197
545,-84.3879824,33.7489954
546,-84.3879824,33.7489954
547,-74.0059413,40.7127837
548,-75.2424229,39.8743959
549,-73.9757026,40.7497769
550,-118.856004,34.216442
551,107.7607951,-6.5622888
552,-86.80249,33.5206608
553,-62.7676633,8.2750921
554,-74.0059413,40.7127837
555,5.291266,52.132633
556,-104.8319195,39.7294319
557,-104.8319195,39.7294319
558,-87.771964,41.909611
559,-97.7430608,30.267153
560,-95.3698028,29.7604267
561,-73.2103934,40.7298207
562,-84.2700179,37.8393332
563,-149.5680499,61.3293186
564,-83.860493,33.5967091
565,133.775136,-25.274398
566,-95.992775,36.1539816
567,-1.6777926,48.117266
568,-74.7361013,40.3016375
569,-106.346771,56.130366
570,-71.0588801,42.3600825
571,-119.4179324,36.778261
572,-82.5306527,27.3364347
573,-118.2436849,34.0522342
574,-71.4128343,41.8239891
575,-119.7725868,36.7468422
576,-83.316365,42.504358
577,-118.2436849,34.0522342
578,4.8901709,45.771944
579,-74.0059413,40.7127837
580,-95.5377215,29.6185669
581,-58.3815591,-34.6036844
582,-89.6645266,35.042036
583,-95.712891,37.09024
584,-0.1585385,51.5237715
585,-74.4056612,40.0583238
586,-106.346771,56.130366
587,-3.435973,55.378051
588,2.3522219,48.856614
589,-117.8311428,33.7174708
590,-111.0937311,34.0489281
591,-115.4889518,32.6130149
592,-86.3442107,34.3614336
593,-78.6568942,37.4315734
594,-71.4128343,41.8239891
595,-48.374721,-1.3642722
596,-82.907123,40.4172871
597,100.992541,15.870032
598,-95.712891,37.09024
599,-73.9202391,41.6002842
600,-95.712891,37.09024
601,-0.1850596,51.4113749
602,-102.4107493,34.2331373
603,28.0473051,-26.2041028
604,-96.231046,32.6466359
605,-38.502304,-12.9730401
606,-97.1500792,33.2107158
607,-2.2426305,53.4807593
608,-83.382558,33.6070446
609,14.550072,47.516231
610,-8.224454,39.399872
611,3.876716,43.610769
612,2.213749,46.227638
613,-117.1610838,32.715738
614,6.1757156,49.1193089
615,-81.8691228,28.7391313
616,-79.6609441,43.5478681
617,-122.3088165,47.4502499
618,-67.7939057,47.065878
619,-87.6297982,41.8781136
620,-3.714058,38.886471
621,-97.092877,35.0077519
622,-122.6764816,45.5230622
